Golfer,Points,Count,WinOdds,Group,WinOdds_prob
Abraham Ancer,0,13,2200,2,0.043478261
Adam Long,0,1,10000,NA,0.00990099
Austin Cook,0,1,30000,NA,0.003322259
Billy Horschel,40700,5,4500,3,0.02173913
Branden Grace,0,7,10000,6,0.00990099
Brian Harman,19639,9,8000,6,0.012345679
Bryson DeChambeau,0,1,NA,1,NA
Cameron Davis,49250,13,6000,5,0.016393443
Cameron Smith,0,60,800,3,0.111111111
Charles Howell III,42700,2,5000,NA,0.019607843
Chris Kirk,54250,4,7000,6,0.014084507
Christiaan Bezuidenhout,124375,1,6000,NA,0.016393443
Corey Conners,201375,34,1800,3,0.052631579
Emiliano Grillo,0,4,13000,5,0.007633588
Erik Van Rooyen,85018,13,8000,6,0.012345679
Harris English,17400,10,3500,2,0.027777778
Hideki Matsuyama,1369000,40,1800,2,0.052631579
Jason Kokrak,120375,3,4500,2,0.02173913
Keegan Bradley,158875,2,9000,4,0.010989011
Keith Mitchell,239813,1,8000,NA,0.012345679
Kevin Kisner,459500,34,3500,4,0.027777778
Kevin Na,88018,12,2500,3,0.038461538
K.H. Lee,19639,2,10000,5,0.00990099
Marc Leishman,35700,53,1600,4,0.058823529
Matt Jones,0,5,4500,NA,0.02173913
Matt Kuchar,238813,1,7000,NA,0.014084507
Maverick McNealy,54250,13,5000,5,0.019607843
Robert Streb,0,1,13000,NA,0.007633588
Russell Henley,837500,45,2200,6,0.043478261
Ryan Palmer,159875,2,8000,4,0.012345679
Seamus Power,459500,1,4000,NA,0.024390244
Shane Lowry,0,1,NA,4,NA
Si Woo Kim,17400,5,7000,5,0.014084507
Talor Gooch,49250,42,2500,5,0.038461538
Tom Hoge,0,1,9000,NA,0.010989011
Webb Simpson,16800,42,1200,2,0.076923077
Zach Johnson,0,1,13000,NA,0.007633588
Sung Jae Im,0,47,1600,3,0.058823529
Joel Dahmen,0,0,5000,NA,0.019607843
Aaron Rai,0,0,8000,NA,0.012345679
Brendan Steele,0,0,8000,NA,0.012345679
Stewart Cink,0,0,8000,NA,0.012345679
Denny McCarthy,0,0,8000,NA,0.012345679
Takumi Kanaya,0,0,8000,NA,0.012345679
Brendon Todd,0,0,8000,NA,0.012345679
Patton Kizzire,0,0,10000,NA,0.00990099
Scott Piercy,0,0,11000,NA,0.009009009
Alex Smalley,0,0,11000,NA,0.009009009
Brian Stuard,0,0,13000,NA,0.007633588
Brandt Snedeker,0,0,13000,NA,0.007633588
Rory Sabbatini,0,0,13000,NA,0.007633588
Taylor Pendrith,0,0,13000,NA,0.007633588
Henrik Norlander,0,0,13000,NA,0.007633588
Greyson Sigg,0,0,13000,NA,0.007633588
Nick Hardy,0,0,13000,NA,0.007633588
Hayden Buckley,0,0,13000,NA,0.007633588
Mark Hubbard,0,0,13000,NA,0.007633588
Stephan Jaeger,0,0,15000,NA,0.006622517
Lucas Glover,0,0,15000,NA,0.006622517
Kramer Hickok,0,0,15000,NA,0.006622517
Russell Knox,0,0,15000,NA,0.006622517
Chad Ramey,0,0,15000,NA,0.006622517
Hudson Swafford,0,0,15000,NA,0.006622517
Adam Schenk,0,0,15000,NA,0.006622517
Vincent Whaley,0,0,15000,NA,0.006622517
Chan Kim,0,0,15000,NA,0.006622517
Cameron Young,0,0,15000,NA,0.006622517
Harry Higgs,0,0,15000,NA,0.006622517
John Huh,0,0,15000,NA,0.006622517
Jim Furyk,0,0,15000,NA,0.006622517
Andrew Novak,0,0,18000,NA,0.005524862
Hank Lebioda,0,0,18000,NA,0.005524862
J.J. Spaun,0,0,18000,NA,0.005524862
Sahith Theegala,0,0,20000,NA,0.004975124
Andrew Putnam,0,0,20000,NA,0.004975124
Sam Ryder,0,0,20000,NA,0.004975124
Roger Sloan,0,0,20000,NA,0.004975124
Jim Herman,0,0,20000,NA,0.004975124
Michael Thompson,0,0,20000,NA,0.004975124
Nate Lashley,0,0,20000,NA,0.004975124
Dylan Wu,0,0,20000,NA,0.004975124
Rikuya Hoshino,0,0,20000,NA,0.004975124
Max McGreevy,0,0,20000,NA,0.004975124
Beau Hossler,0,0,20000,NA,0.004975124
Kyle Stanley,0,0,20000,NA,0.004975124
Sunghoon Kang,0,0,20000,NA,0.004975124
Lee Hodges,0,0,20000,NA,0.004975124
David Skinns,0,0,20000,NA,0.004975124
Davis Riley,0,0,20000,NA,0.004975124
Graeme McDowell,0,0,20000,NA,0.004975124
Seth Reeves,0,0,20000,NA,0.004975124
Tyler Duncan,0,0,20000,NA,0.004975124
Camilo Villegas,0,0,25000,NA,0.003984064
Vaughn Taylor,0,0,25000,NA,0.003984064
Dawie Van Der Walt,0,0,25000,NA,0.003984064
Kevin Tway,0,0,25000,NA,0.003984064
Curtis Thompson,0,0,25000,NA,0.003984064
Chesson Hadley,0,0,25000,NA,0.003984064
Ben Kohles,0,0,25000,NA,0.003984064
Trey Mullinax,0,0,25000,NA,0.003984064
Ryan Armour,0,0,25000,NA,0.003984064
Chase Seiffert,0,0,25000,NA,0.003984064
Adam Svensson,0,0,25000,NA,0.003984064
Scott Gutschewski,0,0,30000,NA,0.003322259
Paul Barjon,0,0,30000,NA,0.003322259
Peter Malnati,0,0,30000,NA,0.003322259
Ryan Moore,0,0,30000,NA,0.003322259
Satoshi Kodaira,0,0,30000,NA,0.003322259
David Lipsky,0,0,30000,NA,0.003322259
J.T. Poston,0,0,30000,NA,0.003322259
Callum Tarren,0,0,30000,NA,0.003322259
Joshua Creel,0,0,30000,NA,0.003322259
Michael Gligic,0,0,30000,NA,0.003322259
William McGirt,0,0,30000,NA,0.003322259
Kurt Kitayama,0,0,30000,NA,0.003322259
Jimmy Walker,0,0,30000,NA,0.003322259
Wesley Bryan,0,0,30000,NA,0.003322259
Austin Smotherman,0,0,30000,NA,0.003322259
Sepp Straka,0,0,30000,NA,0.003322259
Jerry Kelly,0,0,30000,NA,0.003322259
Justin Lower,0,0,30000,NA,0.003322259
Kelly Kraft,0,0,40000,NA,0.002493766
Joseph Bramlett,0,0,40000,NA,0.002493766
Kevin Chappell,0,0,40000,NA,0.002493766
Richy Werenski,0,0,40000,NA,0.002493766
Jim Knous,0,0,40000,NA,0.002493766
Brian Gay,0,0,40000,NA,0.002493766
Brandon Wu,0,0,40000,NA,0.002493766
Haotong Li,0,0,40000,NA,0.002493766
Luke Donald,0,0,40000,NA,0.002493766
Bill Haas,0,0,40000,NA,0.002493766
Brett Drewitt,0,0,40000,NA,0.002493766
Parker McLachlin,0,0,100000,NA,9.99E-04
Kevin Carll,0,0,100000,NA,9.99E-04
Garrett Okamura,0,0,100000,NA,9.99E-04
Martin Trainer,0,0,100000,NA,9.99E-04
Jared Wolfe,0,0,100000,NA,9.99E-04
