Golfer,Points,Count,WinOdds,Group,WinOdds_prob
Abraham Ancer,27014,19,2500,2,0.038461538
Alexander Noren,0,3,6500,6,0.015151515
Andrew Landry,0,2,13000,NA,0.007633588
Austin Cook,0,1,40000,NA,0.002493766
Brian Harman,408800,6,9000,6,0.010989011
Cameron Champ,0,7,10000,5,0.00990099
Cameron Davis,0,1,NA,5,NA
Cameron Smith,0,1,NA,3,NA
Cameron Tringale,0,7,4500,4,0.02173913
Carlos Ortiz,0,5,8000,5,0.012345679
Chris Kirk,0,3,10000,6,0.00990099
Christiaan Bezuidenhout,27014,1,6000,NA,0.016393443
Corey Conners,0,32,2200,3,0.043478261
Gary Woodland,0,3,10000,6,0.00990099
James Hart du Preez,0,1,NA,NA,NA
Jason Day,18949,5,13000,6,0.007633588
Jon Rahm,119700,71,500,1,0.166666667
Justin Rose,39683,15,5500,4,0.017857143
Kevin Kisner,0,1,NA,4,NA
Kevin Na,0,1,NA,3,NA
K.H. Lee,22492,2,13000,5,0.007633588
Luke List,79420,1,6500,NA,0.015151515
Matthew Wolff,0,28,2800,3,0.034482759
Michael Thompson,0,3,9000,NA,0.010989011
Patrick Cantlay,230300,59,900,1,0.1
Patrick Reed,17632,15,3500,2,0.027777778
Patton Kizzire,79420,1,15000,NA,0.006622517
Paul Casey,0,1,NA,3,NA
Phil Mickelson,0,1,10000,NA,0.00990099
Rickie Fowler,0,22,6000,6,0.016393443
Russell Henley,119700,35,3500,6,0.027777778
Russell Knox,0,1,10000,NA,0.00990099
Scottie Scheffler,55955,41,1600,2,0.058823529
Seamus Power,124700,9,2800,NA,0.034482759
Sebastian Munoz,0,1,10000,5,0.00990099
Si Woo Kim,184300,14,6500,5,0.015151515
Sung Jae Im,184300,19,1800,3,0.052631579
Talor Gooch,0,47,2000,5,0.047619048
Tony Finau,27014,34,2000,2,0.047619048
Webb Simpson,0,1,NA,2,NA
Will Zalatoris,265500,12,5000,3,0.019607843
Adam Hadwin,0,0,6500,NA,0.015151515
Jhonattan Vegas,0,0,8000,NA,0.012345679
Taylor Moore,0,0,8000,NA,0.012345679
Charles Howell III,0,0,9000,NA,0.010989011
Harold Varner III,0,0,9000,NA,0.010989011
Kevin Streelman,0,0,10000,NA,0.00990099
Troy Merritt,0,0,10000,NA,0.00990099
Adam Long,0,0,10000,NA,0.00990099
Brendon Todd,0,0,11000,NA,0.009009009
Chez Reavie,0,0,11000,NA,0.009009009
Lucas Glover,0,0,13000,NA,0.007633588
Emiliano Grillo,0,0,13000,5,0.007633588
Doug Ghim,0,0,13000,NA,0.007633588
Lanto Griffin,0,0,13000,NA,0.007633588
Hayden Buckley,0,0,13000,NA,0.007633588
Tom Hoge,0,0,13000,NA,0.007633588
Denny McCarthy,0,0,13000,NA,0.007633588
John Huh,0,0,15000,NA,0.006622517
Andrew Putnam,0,0,15000,NA,0.006622517
Alex Smalley,0,0,15000,NA,0.006622517
Dylan Frittelli,0,0,15000,NA,0.006622517
Wyndham Clark,0,0,15000,NA,0.006622517
Aaron Rai,0,0,15000,NA,0.006622517
Patrick Rodgers,0,0,15000,NA,0.006622517
Cheng Tsung Pan,0,0,15000,NA,0.006622517
Vincent Whaley,0,0,15000,NA,0.006622517
Brendan Steele,0,0,15000,NA,0.006622517
Scott Piercy,0,0,15000,NA,0.006622517
Kramer Hickok,0,0,15000,NA,0.006622517
Adam Svensson,0,0,15000,NA,0.006622517
Greyson Sigg,0,0,15000,NA,0.006622517
Danny Lee,0,0,15000,NA,0.006622517
Scott Stallings,0,0,18000,NA,0.005524862
Adam Schenk,0,0,18000,NA,0.005524862
Brandt Snedeker,0,0,18000,NA,0.005524862
Taylor Pendrith,0,0,18000,NA,0.005524862
Rory Sabbatini,0,0,18000,NA,0.005524862
Francesco Molinari,0,0,18000,NA,0.005524862
Matthew NeSmith,0,0,20000,NA,0.004975124
Nick Hardy,0,0,20000,NA,0.004975124
Nick Taylor,0,0,20000,NA,0.004975124
Davis Riley,0,0,20000,NA,0.004975124
Dylan Wu,0,0,20000,NA,0.004975124
Zach Johnson,0,0,20000,NA,0.004975124
Jason Dufner,0,0,20000,NA,0.004975124
Robert Streb,0,0,20000,NA,0.004975124
Pat Perez,0,0,20000,NA,0.004975124
Peter Uihlein,0,0,20000,NA,0.004975124
Chad Ramey,0,0,20000,NA,0.004975124
Henrik Norlander,0,0,20000,NA,0.004975124
Harry Higgs,0,0,20000,NA,0.004975124
Austin Smotherman,0,0,20000,NA,0.004975124
Joseph Bramlett,0,0,20000,NA,0.004975124
J.J. Spaun,0,0,25000,NA,0.003984064
Chan Kim,0,0,25000,NA,0.003984064
James Hahn,0,0,25000,NA,0.003984064
Brian Stuard,0,0,25000,NA,0.003984064
Hudson Swafford,0,0,25000,NA,0.003984064
Cameron Young,0,0,25000,NA,0.003984064
Hank Lebioda,0,0,25000,NA,0.003984064
Wesley Bryan,0,0,25000,NA,0.003984064
Ben Kohles,0,0,25000,NA,0.003984064
Sepp Straka,0,0,25000,NA,0.003984064
Sahith Theegala,0,0,25000,NA,0.003984064
Anirban Lahiri,0,0,30000,NA,0.003322259
Ryan Moore,0,0,30000,NA,0.003322259
Tyler McCumber,0,0,30000,NA,0.003322259
Andrew Novak,0,0,30000,NA,0.003322259
Graeme McDowell,0,0,30000,NA,0.003322259
Bronson Burgoon,0,0,30000,NA,0.003322259
J.T. Poston,0,0,30000,NA,0.003322259
Max McGreevy,0,0,30000,NA,0.003322259
Kevin Tway,0,0,30000,NA,0.003322259
Roger Sloan,0,0,30000,NA,0.003322259
Doc Redman,0,0,30000,NA,0.003322259
