Golfer,Points,Count,WinOdds,Group,WinOdds_prob
Aaron Wise,0,7,6500,5,0.015151515
Austin Cook,0,1,50000,NA,0.001996008
Billy Horschel,187180,1,8000,3,0.012345679
Brooks Koepka,0,6,3500,1,0.027777778
Bryson DeChambeau,0,5,2200,1,0.043478261
Cameron Champ,27008,8,15000,5,0.006622517
Cameron Davis,19152,7,15000,5,0.006622517
Cameron Tringale,450200,1,6500,4,0.015151515
Charley Hoffman,0,1,13000,4,0.007633588
Corey Conners,0,3,5000,3,0.019607843
Daniel Berger,95508,11,2000,2,0.047619048
Dustin Johnson,65940,9,2200,1,0.043478261
Emiliano Grillo,0,3,25000,5,0.003984064
Francesco Molinari,18480,4,8000,NA,0.012345679
Gary Woodland,33180,5,11000,6,0.009009009
Hideki Matsuyama,53760,24,1800,2,0.052631579
Jason Day,455200,33,10000,6,0.00990099
Joaquin Niemann,265020,2,8000,3,0.012345679
Jon Rahm,450200,63,650,1,0.133333333
Jordan Spieth,0,3,4000,1,0.024390244
Joseph Bramlett,17556,1,20000,NA,0.004975124
Justin Rose,265020,11,5500,4,0.017857143
Justin Thomas,102508,23,1200,1,0.076923077
K.H. Lee,0,1,15000,5,0.006622517
Lanto Griffin,58760,3,8000,NA,0.012345679
Mackenzie Hughes,0,24,6500,6,0.015151515
Marc Leishman,132300,34,2500,4,0.038461538
Matthew Wolff,18228,2,5000,3,0.019607843
Maverick McNealy,53760,18,4500,5,0.02173913
Max Homa,0,21,7000,4,0.014084507
Patrick Reed,22008,9,5000,2,0.019607843
Rickie Fowler,0,13,15000,6,0.006622517
Ryan Palmer,132300,10,6000,4,0.016393443
Sam Burns,0,15,2000,2,0.047619048
Scottie Scheffler,95508,6,2000,2,0.047619048
Si Woo Kim,186180,13,6500,5,0.015151515
Sung Jae Im,265020,9,3000,3,0.032258065
Talor Gooch,95508,20,5000,5,0.019607843
Tony Finau,0,19,2500,2,0.038461538
Will Zalatoris,925600,60,3500,3,0.027777778
Xander Schauffele,43764,28,1400,1,0.066666667
Luke List,0,0,7000,NA,0.014084507
Christiaan Bezuidenhout,0,0,7000,NA,0.014084507
Keegan Bradley,0,0,8000,4,0.012345679
Tom Hoge,0,0,10000,NA,0.00990099
