Golfer,Points,Count,WinOdds,Group,WinOdds_prob
Aaron Baddeley,0,1,30000,NA,0.003322259
Aaron Rai,17661,2,8000,NA,0.012345679
Adam Hadwin,119843,1,10000,NA,0.00990099
Andrew Landry,0,1,40000,NA,0.002493766
Austin Cook,29195,1,40000,NA,0.002493766
Brandon Harkins,0,1,10000,NA,0.00990099
Brandt Snedeker,0,1,8000,NA,0.012345679
Brian Harman,17661,7,6000,6,0.016393443
Brooks Koepka,0,2,NA,1,NA
Bryson DeChambeau,0,1,NA,1,NA
Cameron Champ,0,4,8000,5,0.012345679
Cameron Tringale,0,47,2500,4,0.038461538
Charl Schwartzel,0,1,10000,NA,0.00990099
Charley Hoffman,0,6,6000,4,0.016393443
Chris Kirk,0,1,8000,6,0.012345679
Christiaan Bezuidenhout,163125,5,5000,NA,0.019607843
Corey Conners,0,1,NA,3,NA
Daniel Berger,0,10,1000,2,0.090909091
David Lingmerth,0,1,40000,NA,0.002493766
Francesco Molinari,0,1,NA,NA,NA
Hideki Matsuyama,0,1,NA,2,NA
Jason Day,74603,69,2000,6,0.047619048
Joel Dahmen,299625,1,9000,NA,0.010989011
Johnson Wagner,24488,1,50000,NA,0.001996008
Jon Rahm,0,2,NA,1,NA
Jordan Spieth,955300,59,1800,1,0.052631579
Justin Rose,19227,44,2000,4,0.047619048
Kevin Kisner,0,21,4000,4,0.024390244
Kevin Streelman,0,11,4000,NA,0.024390244
Lanto Griffin,124843,2,5500,NA,0.017857143
Lee Hodges,0,1,18000,NA,0.005524862
Mackenzie Hughes,119843,4,5000,6,0.019607843
Marc Leishman,0,1,NA,4,NA
Matt Jones,0,1,6500,NA,0.015151515
Matt Kuchar,0,3,6000,NA,0.016393443
Matthew Fitzpatrick,293625,12,2800,3,0.034482759
Matthew NeSmith,17661,1,10000,NA,0.00990099
Maverick McNealy,43548,57,2500,5,0.038461538
Max Homa,0,1,NA,4,NA
Michael Thompson,0,5,8000,NA,0.012345679
Mito Pereira,0,11,4000,NA,0.024390244
Nick Taylor,163125,1,8000,NA,0.012345679
Pat Perez,237075,3,10000,NA,0.00990099
Patrick Cantlay,396500,67,700,1,0.125
Rickie Fowler,0,1,NA,6,NA
Russell Knox,43548,4,8000,NA,0.012345679
Ryan Palmer,0,17,5000,4,0.019607843
Sahith Theegala,17661,3,13000,NA,0.007633588
Scott Stallings,0,1,8000,NA,0.012345679
Seamus Power,249075,26,2200,NA,0.043478261
Si Woo Kim,0,1,NA,5,NA
Talor Gooch,0,1,NA,5,NA
Tom Hoge,1588000,5,6500,NA,0.015151515
Tony Finau,0,1,NA,2,NA
Troy Merritt,391500,1,6000,NA,0.016393443
Will Zalatoris,0,4,1800,3,0.052631579
Denny McCarthy,0,0,5000,NA,0.019607843
Min Woo Lee,0,0,5000,NA,0.019607843
Taylor Moore,0,0,6500,NA,0.015151515
Chez Reavie,0,0,6500,NA,0.015151515
Dean Burmester,0,0,6500,NA,0.015151515
Andrew Putnam,0,0,8000,NA,0.012345679
