Golfer,Points,Count,WinOdds,Group,WinOdds_prob
Aaron Wise,24960,1,20000,5,0.004975124
Abraham Ancer,45000,3,8000,2,0.012345679
Adam Scott,545000,13,4500,4,0.02173913
Alexander Noren,30429,14,8000,6,0.012345679
Branden Grace,0,1,20000,6,0.004975124
Brian Harman,0,2,NA,6,NA
Brooks Koepka,0,7,3500,1,0.027777778
Bubba Watson,0,35,4500,6,0.02173913
Cameron Champ,24960,4,25000,5,0.003984064
Cameron Davis,30429,1,20000,5,0.004975124
Cameron Smith,64000,29,2200,3,0.043478261
Cameron Tringale,243000,2,8000,4,0.012345679
Carlos Ortiz,45000,4,15000,5,0.006622517
Charley Hoffman,24360,3,20000,4,0.004975124
Collin Morikawa,1073000,19,2000,1,0.047619048
Dustin Johnson,0,17,1600,1,0.058823529
Emiliano Grillo,130880,2,25000,5,0.003984064
Erik Van Rooyen,50000,8,10000,6,0.00990099
Francesco Molinari,27600,1,15000,NA,0.006622517
Hideki Matsuyama,45000,38,1800,2,0.052631579
Jason Kokrak,85800,2,7000,2,0.014084507
Joaquin Niemann,2189000,2,7000,3,0.014084507
Jon Rahm,130880,26,800,1,0.111111111
Jordan Spieth,85800,1,4000,1,0.024390244
Justin Thomas,441000,14,1400,1,0.066666667
Keegan Bradley,30429,2,15000,4,0.006622517
Kevin Na,0,4,7500,3,0.013157895
K.H. Lee,85800,5,15000,5,0.006622517
Mackenzie Hughes,0,2,9000,6,0.010989011
Marc Leishman,189000,10,6000,4,0.016393443
Matthew Fitzpatrick,0,7,3500,3,0.027777778
Maverick McNealy,390000,7,9000,5,0.010989011
Max Homa,303000,44,5000,4,0.019607843
Patrick Cantlay,64000,40,1000,1,0.090909091
Patrick Reed,0,5,9000,2,0.010989011
Paul Casey,189000,1,6000,3,0.016393443
Rickie Fowler,27600,2,20000,6,0.004975124
Rory McIlroy,303000,10,2200,1,0.043478261
Russell Henley,64000,13,4000,6,0.024390244
Ryan Palmer,0,1,15000,4,0.006622517
Sam Burns,0,14,4000,2,0.024390244
Scottie Scheffler,395000,10,2200,2,0.043478261
Sebastian Munoz,125880,1,20000,5,0.004975124
Sergio Garcia,45000,2,6000,4,0.016393443
Si Woo Kim,23880,6,9000,5,0.010989011
Sung Jae Im,64000,4,4000,3,0.024390244
Talor Gooch,0,46,4000,5,0.024390244
Tony Finau,64000,8,6000,2,0.016393443
Viktor Hovland,551000,3,2500,1,0.038461538
Will Zalatoris,85800,33,2800,3,0.034482759
Wyndham Clark,0,1,20000,NA,0.004975124
Xander Schauffele,243000,9,2200,1,0.043478261
Seamus Power,0,0,6000,NA,0.016393443
Thomas Pieters,0,0,7000,NA,0.014084507
