Golfer,Points,Count,WinOdds,Group,WinOdds_prob
Aaron Wise,50200,1,20000,5,0.004975124
Abraham Ancer,100111,4,6500,2,0.015151515
Adam Long,57700,1,30000,NA,0.003322259
Adam Scott,0,18,3000,4,0.032258065
Alexander Noren,143000,4,10000,6,0.00990099
Billy Horschel,0,13,5500,3,0.017857143
Brian Harman,43400,9,15000,6,0.006622517
Brooks Koepka,0,6,4000,1,0.024390244
Bubba Watson,41600,3,18000,6,0.005524862
Cameron Champ,0,6,35000,5,0.002849003
Cameron Davis,0,3,30000,5,0.003322259
Cameron Smith,3600000,15,3000,3,0.032258065
Cameron Tringale,0,1,13000,4,0.007633588
Chris Kirk,0,13,10000,6,0.00990099
Collin Morikawa,0,41,1600,1,0.058823529
Corey Conners,143000,6,7000,3,0.014084507
Daniel Berger,327222,32,3500,2,0.027777778
Dustin Johnson,532000,1,4000,1,0.024390244
Emiliano Grillo,0,1,25000,5,0.003984064
Erik Van Rooyen,327222,1,18000,6,0.005524862
Gary Woodland,0,20,8000,6,0.012345679
Hideki Matsuyama,0,7,2500,2,0.038461538
Jason Day,0,18,9000,6,0.010989011
Jason Kokrak,47800,1,9000,2,0.010989011
Joaquin Niemann,201000,3,5000,3,0.019607843
Jon Rahm,46200,20,1000,1,0.090909091
Jordan Spieth,0,2,6000,1,0.016393443
Justin Rose,0,2,10000,4,0.00990099
Justin Thomas,100111,26,1000,1,0.090909091
Keegan Bradley,820000,6,13000,4,0.007633588
K.H. Lee,46200,2,18000,5,0.005524862
Louis Oosthuizen,73000,3,5500,2,0.017857143
Lucas Herbert,41600,4,25000,5,0.003984064
Mackenzie Hughes,0,1,15000,6,0.006622517
Marc Leishman,0,6,8000,4,0.012345679
Matthew Fitzpatrick,0,16,NA,3,NA
Matthew Wolff,0,1,18000,3,0.005524862
Maverick McNealy,57700,4,13000,5,0.007633588
Max Homa,327222,10,8000,4,0.012345679
Mito Pereira,0,1,18000,NA,0.005524862
Patrick Cantlay,0,15,2000,1,0.047619048
Paul Casey,1380000,2,7000,3,0.014084507
Rickie Fowler,0,1,NA,6,NA
Rory McIlroy,100111,18,1600,1,0.058823529
Russell Henley,327222,8,5500,6,0.017857143
Ryan Palmer,0,1,25000,4,0.003984064
Sam Burns,143000,3,6000,2,0.016393443
Scottie Scheffler,46200,27,2000,2,0.047619048
Sebastian Munoz,105111,1,15000,5,0.006622517
Sergio Garcia,143000,5,4000,4,0.024390244
Shane Lowry,327222,28,5000,4,0.019607843
Si Woo Kim,0,12,8000,5,0.012345679
Sung Jae Im,46200,2,5000,3,0.019607843
Talor Gooch,0,43,6500,5,0.015151515
Tony Finau,0,1,8000,2,0.012345679
Tyrrell Hatton,327222,5,6500,3,0.015151515
Viktor Hovland,525000,14,2000,1,0.047619048
Webb Simpson,0,2,8000,2,0.012345679
Will Zalatoris,143000,16,5000,3,0.019607843
Xander Schauffele,0,3,2500,1,0.038461538
Matt Fitzpatrick,0,0,4000,NA,0.024390244
Tommy Fleetwood,0,0,8000,NA,0.012345679
Seamus Power,0,0,13000,NA,0.007633588
