Golfer,Points,Count,WinOdds,Group,WinOdds_prob
Aaron Wise,0,39,8000,5,0.012345679012345678
Abraham Ancer,0,13,3500,2,0.027777777777777776
Alexander Noren,164900,15,5500,6,0.017857142857142856
Andrew Landry,0,1,50000,NA,0.001996007984031936
Austin Cook,0,1,40000,NA,0.0024937655860349127
Branden Grace,0,1,20000,6,0.004975124378109453
Brian Harman,301275,7,9000,6,0.01098901098901099
Brooks Koepka,164900,5,3500,1,0.027777777777777776
Bubba Watson,0,21,5500,6,0.017857142857142856
Cameron Tringale,17004,5,6500,4,0.015151515151515152
Carlos Ortiz,0,17,18000,5,0.0055248618784530384
Charley Hoffman,0,3,12000,4,0.008264462809917356
Chez Reavie,29250,1,25000,NA,0.00398406374501992
Christiaan Bezuidenhout,17004,1,6500,NA,0.015151515151515152
Collin Morikawa,16224,29,1200,1,0.07692307692307693
Daniel Berger,0,1,NA,2,NA
Dustin Johnson,29250,35,1800,1,0.05263157894736842
Emiliano Grillo,0,16,20000,5,0.004975124378109453
Gary Woodland,85020,25,5000,6,0.0196078431372549
Jason Day,0,7,6500,6,0.015151515151515152
Jason Kokrak,0,10,2200,2,0.043478260869565216
Justin Thomas,460200,43,900,1,0.1
Keegan Bradley,0,18,5000,4,0.0196078431372549
Kevin Kisner,41600,17,7000,4,0.014084507042253521
Kramer Hickok,41600,1,25000,NA,0.00398406374501992
K.H. Lee,0,1,NA,5,NA
Lee Hodges,0,1,25000,NA,0.00398406374501992
Louis Oosthuizen,17004,24,1600,2,0.058823529411764705
Mackenzie Hughes,0,2,7000,6,0.014084507042253521
Matthew Fitzpatrick,301275,13,2200,3,0.043478260869565216
Maverick McNealy,0,2,NA,5,NA
Mito Pereira,54600,1,11000,NA,0.009009009009009009
Rory McIlroy,0,1,NA,1,NA
Russell Henley,0,1,NA,6,NA
Russell Knox,17706,2,7000,NA,0.014084507042253521
Sam Burns,1410000,34,1800,2,0.05263157894736842
Sebastian Munoz,0,2,NA,5,NA
Shane Lowry,159900,36,3000,4,0.03225806451612903
Tommy Fleetwood,118950,1,5500,NA,0.017857142857142856
Tyrrell Hatton,85020,11,2500,3,0.038461538461538464
Viktor Hovland,41600,58,900,1,0.1
Webb Simpson,19439,5,5500,2,0.017857142857142856
Xander Schauffele,159900,11,1600,1,0.058823529411764705
Zach Johnson,0,1,18000,NA,0.0055248618784530384
Adam Hadwin,0,0,6000,NA,0.01639344262295082
Harold Varner III,0,0,7000,NA,0.014084507042253521
Denny McCarthy,0,0,8000,NA,0.012345679012345678
Troy Merritt,0,0,8000,NA,0.012345679012345678
Jhonattan Vegas,0,0,10000,NA,0.009900990099009901
Pat Perez,0,0,11000,NA,0.009009009009009009
Nick Taylor,0,0,11000,NA,0.009009009009009009
Lanto Griffin,0,0,11000,NA,0.009009009009009009
Kevin Streelman,0,0,13000,NA,0.007633587786259542
Francesco Molinari,0,0,13000,NA,0.007633587786259542
Taylor Moore,0,0,13000,NA,0.007633587786259542
Bernd Wiesberger,0,0,13000,NA,0.007633587786259542
Patton Kizzire,0,0,13000,NA,0.007633587786259542
Joel Dahmen,0,0,14000,NA,0.0070921985815602835
C.T. Pan,0,0,14000,NA,0.0070921985815602835
Matt Kuchar,0,0,14000,NA,0.0070921985815602835
Martin Laird,0,0,14000,NA,0.0070921985815602835
Doc Redman,0,0,15000,NA,0.006622516556291391
Brendon Todd,0,0,15000,NA,0.006622516556291391
Matthias Schwab,0,0,15000,NA,0.006622516556291391
JJ Spaun,0,0,17000,NA,0.005847953216374269
Greyson Sigg,0,0,17000,NA,0.005847953216374269
Henrik Stenson,0,0,18000,NA,0.0055248618784530384
Danny Lee,0,0,18000,NA,0.0055248618784530384
Andrew Putnam,0,0,18000,NA,0.0055248618784530384
Alex Smalley,0,0,18000,NA,0.0055248618784530384
Sahith Theegala,0,0,18000,NA,0.0055248618784530384
Graeme McDowell,0,0,20000,NA,0.004975124378109453
David Lipsky,0,0,20000,NA,0.004975124378109453
Danny Willett,0,0,20000,NA,0.004975124378109453
Brian Stuard,0,0,20000,NA,0.004975124378109453
Austin Smotherman,0,0,20000,NA,0.004975124378109453
Adam Long,0,0,20000,NA,0.004975124378109453
Sam Ryder,0,0,20000,NA,0.004975124378109453
Dylan Wu,0,0,20000,NA,0.004975124378109453
Kevin Yu,0,0,25000,NA,0.00398406374501992
John Huh,0,0,25000,NA,0.00398406374501992
J.T. Poston,0,0,25000,NA,0.00398406374501992
Hank Lebioda,0,0,25000,NA,0.00398406374501992
Wyndham Clark,0,0,25000,NA,0.00398406374501992
Davis Riley,0,0,25000,NA,0.00398406374501992
Vincent Whaley,0,0,25000,NA,0.00398406374501992
Vaughn Taylor,0,0,25000,NA,0.00398406374501992
Charl Schwartzel,0,0,25000,NA,0.00398406374501992
Trey Mullinax,0,0,25000,NA,0.00398406374501992
Stephan Jaeger,0,0,25000,NA,0.00398406374501992
Stewart Cink,0,0,25000,NA,0.00398406374501992
Adam Svensson,0,0,25000,NA,0.00398406374501992
Sean O'Hair,0,0,25000,NA,0.00398406374501992
Scott Stallings,0,0,25000,NA,0.00398406374501992
Ryan Brehm,0,0,25000,NA,0.00398406374501992
Matthew NeSmith,0,0,25000,NA,0.00398406374501992
Martin Kaymer,0,0,25000,NA,0.00398406374501992
Joseph Bramlett,0,0,30000,NA,0.0033222591362126247
Chad Ramey,0,0,30000,NA,0.0033222591362126247
Tyler Duncan,0,0,30000,NA,0.0033222591362126247
Callum Tarren,0,0,30000,NA,0.0033222591362126247
Brice Garnett,0,0,30000,NA,0.0033222591362126247
Sung Kang,0,0,30000,NA,0.0033222591362126247
Bill Haas,0,0,30000,NA,0.0033222591362126247
Scott Piercy,0,0,30000,NA,0.0033222591362126247
Roger Sloan,0,0,30000,NA,0.0033222591362126247
Peter Malnati,0,0,30000,NA,0.0033222591362126247
Michael Thompson,0,0,30000,NA,0.0033222591362126247
Bronson Burgoon,0,0,30000,NA,0.0033222591362126247
Hayden Buckley,0,0,35000,NA,0.002849002849002849
Curtis Thompson,0,0,35000,NA,0.002849002849002849
Cameron Percy,0,0,35000,NA,0.002849002849002849
Tommy Gainey,0,0,35000,NA,0.002849002849002849
Andrew Novak,0,0,35000,NA,0.002849002849002849
Adam Schenk,0,0,35000,NA,0.002849002849002849
Robert Streb,0,0,35000,NA,0.002849002849002849
Nate Lashley,0,0,35000,NA,0.002849002849002849
Matt Wallace,0,0,35000,NA,0.002849002849002849
Kurt Kitayama,0,0,35000,NA,0.002849002849002849
Kyle Stanley,0,0,40000,NA,0.0024937655860349127
Jim Herman,0,0,40000,NA,0.0024937655860349127
Jimmy Walker,0,0,40000,NA,0.0024937655860349127
James Hahn,0,0,40000,NA,0.0024937655860349127
Henrik Norlander,0,0,40000,NA,0.0024937655860349127
Harry Higgs,0,0,40000,NA,0.0024937655860349127
Wesley Bryan,0,0,40000,NA,0.0024937655860349127
Brandon Wu,0,0,40000,NA,0.0024937655860349127
Seth Reeves,0,0,40000,NA,0.0024937655860349127
Max McGreevy,0,0,40000,NA,0.0024937655860349127
Luke Donald,0,0,40000,NA,0.0024937655860349127
Kelly Kraft,0,0,50000,NA,0.001996007984031936
William McGirt,0,0,50000,NA,0.001996007984031936
Chesson Hadley,0,0,50000,NA,0.001996007984031936
Brian Gay,0,0,50000,NA,0.001996007984031936
Brandon Hagy,0,0,50000,NA,0.001996007984031936
Seung Yul Noh,0,0,50000,NA,0.001996007984031936
Paul Barjon,0,0,50000,NA,0.001996007984031936
Luke Guthrie,0,0,50000,NA,0.001996007984031936
Kiradech Aphibarnrat,0,0,50000,NA,0.001996007984031936
Jonas Blixt,0,0,80000,NA,0.0012484394506866417
Greg Koch,0,0,80000,NA,0.0012484394506866417
Davis Love III,0,0,80000,NA,0.0012484394506866417
Richy Werenski,0,0,80000,NA,0.0012484394506866417
Omar Uresti,0,0,80000,NA,0.0012484394506866417
Martin Trainer,0,0,80000,NA,0.0012484394506866417
Mark Hensby,0,0,80000,NA,0.0012484394506866417
Blake Kennedy,0,0,80000,NA,0.0012484394506866417
Andrew Mccain,0,0,80000,NA,0.0012484394506866417
