Golfer,Points,Count,WinOdds,Group,WinOdds_prob
Aaron Rai,55112,1,20000,NA,0.004975124378109453
Abraham Ancer,0,4,2200,2,0.043478260869565216
Adam Hadwin,344000,8,4000,NA,0.024390243902439025
Andrew Landry,0,1,40000,NA,0.0024937655860349127
Anirban Lahiri,158670,4,15000,NA,0.006622516556291391
Austin Cook,0,1,40000,NA,0.0024937655860349127
Beau Hossler,349000,1,14000,NA,0.0070921985815602835
Brendan Steele,22308,2,8000,NA,0.012345679012345678
Branden Grace,0,3,15000,6,0.006622516556291391
Bryson DeChambeau,0,9,2800,1,0.034482758620689655
Cameron Champ,0,11,18000,5,0.0055248618784530384
Cameron Tringale,0,1,NA,4,NA
Carlos Ortiz,0,1,NA,5,NA
Charley Hoffman,0,33,7500,4,0.013157894736842105
Chris Kirk,41925,37,2500,6,0.038461538461538464
Collin Morikawa,0,1,NA,1,NA
Corey Conners,41925,47,1800,3,0.05263157894736842
Davis Riley,18576,1,6500,NA,0.015151515151515152
Gary Woodland,234350,40,3000,6,0.03225806451612903
Hideki Matsuyama,0,38,1400,2,0.06666666666666667
Jason Day,0,8,5000,6,0.0196078431372549
Jhonattan Vegas,92606,4,5500,NA,0.017857142857142856
Jimmy Walker,0,1,30000,NA,0.0033222591362126247
Jordan Spieth,41925,63,1400,1,0.06666666666666667
Justin Thomas,0,1,NA,1,NA
Keegan Bradley,234350,30,3500,4,0.027777777777777776
Kevin Streelman,92606,12,6500,NA,0.015151515151515152
K.H. Lee,0,7,5500,5,0.017857142857142856
Louis Oosthuizen,0,1,NA,2,NA
Luke List,20244,1,6000,NA,0.01639344262295082
Mackenzie Hughes,0,1,NA,6,NA
Matt Kuchar,765400,1,7500,NA,0.013157894736842105
Matthew NeSmith,0,2,10000,NA,0.009900990099009901
Maverick McNealy,41925,47,3500,5,0.027777777777777776
Mito Pereira,158670,1,6000,NA,0.01639344262295082
Pat Perez,0,2,8000,NA,0.012345679012345678
Patton Kizzire,0,3,5500,NA,0.017857142857142856
Rickie Fowler,0,6,6500,6,0.015151515151515152
Rory McIlroy,0,55,750,1,0.11764705882352941
